origin,delayed
AMA,0.15601023017902813
RDM,0.15609756097560976
PRC,0.15625
PBI,0.15628415300546447
SBA,0.15629522431259044
MEM,0.15656810470189045
IAH,0.1565715064386455
PNS,0.1569459172852598
ICT,0.15724815724815724
LEX,0.15820029027576196
DRO,0.15953307392996108
PHL,0.1598173515981735
FWA,0.16013628620102216
BHM,0.160445317616241
GTR,0.16071428571428573
MLU,0.16153846153846155
TRI,0.16199376947040497
DEN,0.16215947997816701
OGG,0.16240033571128829
BZN,0.16248348745046234
IAD,0.1626160837779095
ALB,0.16276477146042365
FNT,0.16279069767441862
HSV,0.16311166875784192
PGD,0.164
LGA,0.1647710702828813
JAN,0.1649782923299566
EUG,0.1650853889943074
ROW,0.16521739130434782
DAL,0.1654917757636791
BGM,0.16666666666666666
CGI,0.16666666666666666
XNA,0.1682991985752449
BWI,0.1683067092651757
LAX,0.1686972289907633
ROC,0.16932624113475178
DCA,0.16954775624236074
EVV,0.1696113074204947
MCI,0.16994416120417577
ANC,0.1706016755521706
RIC,0.17176350662589196
STL,0.1718550882941926
TYS,0.17261904761904762
MBS,0.17277486910994763
SFB,0.17292225201072386
RSW,0.1730528424743301
BFF,0.17307692307692307
LBL,0.17307692307692307
HIB,0.17307692307692307
GPT,0.1731266149870801
HOU,0.17314853123707075
MYR,0.17333333333333334
MCO,0.17357126012105967
DAY,0.173828125
ILM,0.17398945518453426
MKE,0.17407561279601164
GEG,0.17454545454545456
SAF,0.17518248175182483
SWO,0.17543859649122806
MOT,0.17676767676767677
SBN,0.17712177121771217
BTR,0.17766497461928935
GSP,0.17816527672479152
MIA,0.17829643888354188
MSY,0.178809370298732
BFL,0.17916666666666667
OMA,0.179168657429527
GNV,0.17943107221006566
SYR,0.17974180734856007
BJI,0.18032786885245902
AEX,0.1803921568627451
TTN,0.18181818181818182
FLL,0.18188598827916888
AZO,0.1825726141078838
DHN,0.1826086956521739
SHV,0.18267419962335216
YUM,0.1827956989247312
GSO,0.18298969072164947
BPT,0.18309859154929578
CAE,0.18341307814992025
TLH,0.18370883882149047
ACV,0.1837837837837838
SRQ,0.18379446640316205
LIT,0.18413597733711048
HYS,0.18446601941747573
HHH,0.18478260869565216
COU,0.18493150684931506
RDD,0.18548387096774194
ORF,0.18604651162790697
SPS,0.18604651162790697
SMX,0.1875
TXK,0.18823529411764706
SCK,0.1885245901639344
EWN,0.18974358974358974
MHK,0.1897810218978102
PSC,0.19047619047619047
PSP,0.19185059422750425
SBP,0.1926070038910506
BMI,0.19305019305019305
HOB,0.19318181818181818
MSP,0.19346138128320392
IDA,0.19424460431654678
FSM,0.19428571428571428
GRR,0.19498069498069498
MKG,0.19607843137254902
MOB,0.19612590799031476
STT,0.19612590799031476
EAU,0.19642857142857142
IMT,0.19642857142857142
MDW,0.19677474695488076
SUN,0.19718309859154928
DLH,0.19923371647509577
PHF,0.2
ROA,0.20075757575757575
GRK,0.20077220077220076
SCE,0.20175438596491227
SCC,0.20238095238095238
MTJ,0.2024793388429752
CKB,0.2028985507246377
ITH,0.203125
SJU,0.203579418344519
CHO,0.2036697247706422
LAW,0.20388349514563106
SFO,0.20462290709734776
RST,0.20491803278688525
CLT,0.20534500981428355
MGM,0.20567375886524822
CWA,0.20603015075376885
DBQ,0.20689655172413793
GRB,0.20707070707070707
CMX,0.20754716981132076
HPN,0.20824742268041238
YAK,0.20833333333333334
LAN,0.20833333333333334
MLI,0.2086720867208672
ABE,0.20891364902506965
MMH,0.20987654320987653
EYW,0.21074964639321075
AVL,0.21287779237844942
GRI,0.21333333333333335
BTV,0.21371610845295055
SJT,0.21481481481481482
GGG,0.21518987341772153
MSN,0.21530249110320285
BIS,0.2153392330383481
CRW,0.215633423180593
VLD,0.2159090909090909
VEL,0.21739130434782608
DSM,0.2175543885971493
CIU,0.21818181818181817
ORH,0.22033898305084745
PSG,0.22033898305084745
BET,0.22058823529411764
AGS,0.2219178082191781
DFW,0.22411621462759257
CMI,0.22466960352422907
ORD,0.2254704029718162
LNK,0.22580645161290322
ATW,0.22781065088757396
WRG,0.22807017543859648
AVP,0.22939068100358423
EWR,0.2296473084062583
PWM,0.22981366459627328
TVC,0.23018867924528302
STX,0.23157894736842105
CAK,0.23173277661795408
SGF,0.23206106870229007
GCK,0.23214285714285715
GFK,0.23225806451612904
FAY,0.23631123919308358
LSE,0.23863636363636365
PLN,0.24
ALO,0.2413793103448276
SWF,0.24347826086956523
EGE,0.2444933920704846
PBG,0.24509803921568626
LCK,0.24528301886792453
USA,0.24545454545454545
RHI,0.2459016393442623
ACT,0.24603174603174602
SEA,0.24611896040467468
FAR,0.24630541871921183
APN,0.25
ABR,0.25
PIA,0.25
TYR,0.25
CDV,0.25
GUC,0.2537313432835821
FSD,0.254416961130742
IAG,0.2545454545454545
CNY,0.25925925925925924
BGR,0.2608695652173913
PSE,0.26153846153846155
CYS,0.26666666666666666
JNU,0.2702702702702703
SPI,0.2706766917293233
AZA,0.27104722792607805
TOL,0.2711864406779661
PVU,0.2727272727272727
SIT,0.275
BLV,0.27692307692307694
LYH,0.27710843373493976
CID,0.2787550744248985
BQN,0.2849740932642487
MEI,0.2903225806451613
RIW,0.2916666666666667
ABI,0.294478527607362
SLN,0.2948717948717949
RFD,0.29508196721311475
KTN,0.29714285714285715
JAC,0.2979683972911964
XWA,0.29850746268656714
ESC,0.3018867924528302
MQT,0.30434782608695654
OGS,0.3191489361702128
ADQ,0.32
HDN,0.3201754385964912
SUX,0.32075471698113206
JLN,0.3300970873786408
HTS,0.3333333333333333
HGR,0.3333333333333333
OGD,0.3333333333333333
ASE,0.33415536374845867
PAE,0.3443708609271523
OTH,0.38095238095238093
STC,0.38461538461538464
PPG,0.4444444444444444
ADK,0.4444444444444444
PSM,0.45
SHR,0.4864864864864865
